Id,Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
10366,600 BLOCK OF SW 3RD AVE,23-140283,Property,Downtown,28-05-2023,2318,Larceny Offenses,Theft From Motor Vehicle,45.51857157,-122.6752984,7644600,682664,28-05-2023,1
10367,7500 BLOCK OF N OLIN AVE,23-139604,Property,Portsmouth,28-05-2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.57993722,-122.7164803,7634662,705317,28-05-2023,1
10368,1000 BLOCK OF SW WASHINGTON ST,23-912484,Property,Downtown,28-05-2023,2015,Larceny Offenses,Theft From Motor Vehicle,45.52143954,-122.6819107,7642934,683755,28-05-2023,1
10369,800 BLOCK OF NE MADRONA ST,23-912475,Person,Woodlawn,28-05-2023,905,Assault Offenses,Simple Assault,45.57255051,-122.6569254,7649833,702212,28-05-2023,1
10370,NW 1ST AVE / NW COUCH ST,23-139497,Person,Old Town/Chinatown,28-05-2023,149,Assault Offenses,Simple Assault,45.5238669,-122.6713795,7645656,684567,28-05-2023,1
10371,9800 BLOCK OF NE EVERETT CT,23-139798,Property,Hazelwood,28-05-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.52523565,-122.5625323,7673556,684335,28-05-2023,1
10372,800 BLOCK OF NE 99TH AVE,23-139602,Property,Hazelwood,28-05-2023,641,Vandalism,Vandalism,45.5287159,-122.5619952,7673726,685600,28-05-2023,1
10373,,23-X5842921,Person,Glenfair,28-05-2023,240,Assault Offenses,Aggravated Assault,,,,,28-05-2023,1
10374,4400 BLOCK OF SE 25TH AVE,23-912458,Property,Brooklyn,28-05-2023,1902,Vandalism,Vandalism,45.49050998,-122.6405047,7653244,672198,28-05-2023,1
10375,8400 BLOCK OF SW 24TH AVE,23-139967,Person,Multnomah,28-05-2023,1523,Assault Offenses,Simple Assault,45.46383218,-122.7020605,7637199,662899,28-05-2023,1
10376,4600 BLOCK OF SE KNIGHT ST,23-139800,Person,Woodstock,28-05-2023,1207,Assault Offenses,Aggravated Assault,45.47995434,-122.6149319,7659699,668178,28-05-2023,2
10377,6100 BLOCK OF SE POWELL BLVD,23-139841,Property,South Tabor,28-05-2023,1245,Larceny Offenses,Theft From Building,45.49750942,-122.5999101,7663717,674476,28-05-2023,1
10378,10300 BLOCK OF SE PARDEE ST,23-140121,Property,Lents,28-05-2023,1922,Larceny Offenses,All Other Larceny,45.48874129,-122.5563706,7674796,670993,28-05-2023,1
10379,7200 BLOCK OF NE SANDY BLVD,23-912467,Property,Roseway,28-05-2023,1402,Larceny Offenses,Shoplifting,45.54858253,-122.5884103,7667146,693015,28-05-2023,1
10380,10600 BLOCK OF NE MORRIS ST,23-106700,Property,Parkrose Heights,28-05-2023,0,Motor Vehicle Theft,Motor Vehicle Theft,45.54352436,-122.5530221,7676162,690939,28-05-2023,1
10381,4800 BLOCK OF SE SHERMAN ST,23-912785,Property,Richmond,28-05-2023,1645,Vandalism,Vandalism,45.50672957,-122.612542,7660567,677921,28-05-2023,1
10382,10900 BLOCK OF NE GLISAN ST,23-139612,Property,Hazelwood,28-05-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.5262366,-122.5499847,7676780,684618,28-05-2023,1
10383,3300 BLOCK OF SE 122ND AVE,23-139590,Property,Powellhurst-Gilbert,28-05-2023,130,Motor Vehicle Theft,Motor Vehicle Theft,45.4980913,-122.5375969,7679695,674279,28-05-2023,1
10384,5000 BLOCK OF NE SANDY BLVD,23-139932,Property,Rose City Park,28-05-2023,900,Motor Vehicle Theft,Motor Vehicle Theft,45.53958606,-122.6114028,7661172,689889,28-05-2023,1
10385,5000 BLOCK OF NE 112TH AVE,23-912460,Property,Parkrose,28-05-2023,1325,Larceny Offenses,All Other Larceny,45.55982023,-122.5473707,7677760,696842,28-05-2023,1
10386,3300 BLOCK OF SE HAWTHORNE BLVD,23-139566,Property,Sunnyside,28-05-2023,406,Vandalism,Vandalism,45.51210432,-122.630076,7656125,679998,28-05-2023,1
10387,10700 BLOCK OF NE WYGANT ST,23-139681,Property,Parkrose,28-05-2023,910,Larceny Offenses,Theft From Motor Vehicle,45.55715277,-122.5521834,7676503,695901,28-05-2023,1
10388,7700 BLOCK OF SE 13TH AVE,23-139576,Property,Sellwood-Moreland,28-05-2023,442,Burglary,Burglary,45.46897613,-122.6530569,7649817,664435,28-05-2023,1
10389,3400 BLOCK OF N WILLIAMS AVE,23-140030,Property,Eliot,28-05-2023,1705,Larceny Offenses,Shoplifting,45.54786011,-122.6667292,7647082,693280,28-05-2023,1
10390,3400 BLOCK OF N WILLIAMS AVE,23-140239,Property,Eliot,28-05-2023,2222,Larceny Offenses,Shoplifting,45.54786011,-122.6667292,7647082,693280,28-05-2023,1
10391,4900 BLOCK OF SW LOWELL ST,23-912471,Property,Bridlemile,28-05-2023,1730,Larceny Offenses,Theft From Motor Vehicle,45.49357418,-122.7278102,7630894,673920,28-05-2023,1
10392,NE BROADWAY / NE 33RD AVE,23-139465,Property,Grant Park,28-05-2023,47,Motor Vehicle Theft,Motor Vehicle Theft,45.5351591,-122.630664,7656196,688405,28-05-2023,1
10393,10500 BLOCK OF SE DIVISION ST,23-139610,Property,Hazelwood,28-05-2023,1,Larceny Offenses,All Other Larceny,45.50434679,-122.554224,7675491,676667,28-05-2023,1
10394,NE HOLLADAY ST / NE 102ND AVE,23-140130,Property,Hazelwood,28-05-2023,1938,Robbery,Robbery,45.52990784,-122.5580999,7674735,686009,28-05-2023,1
10395,10500 BLOCK OF SE DIVISION ST,23-139610,Property,Hazelwood,28-05-2023,1,Fraud Offenses,Credit Card/ATM Fraud,45.50434679,-122.554224,7675491,676667,28-05-2023,1
10396,10500 BLOCK OF E BURNSIDE ST,23-139761,Property,Hazelwood,28-05-2023,2245,Larceny Offenses,All Other Larceny,45.52251444,-122.5550061,7675459,683294,28-05-2023,1
10397,7300 BLOCK OF SE POWELL BLVD,23-140024,Property,South Tabor,28-05-2023,1819,Vandalism,Vandalism,45.49747663,-122.5875613,7666882,674382,28-05-2023,1
10398,10500 BLOCK OF E BURNSIDE ST,23-139761,Property,Hazelwood,28-05-2023,2245,Burglary,Burglary,45.52251444,-122.5550061,7675459,683294,28-05-2023,1
10399,7300 BLOCK OF SE MITCHELL CT,23-912422,Property,Mt Scott-Arleta,28-05-2023,2315,Vandalism,Vandalism,45.48501738,-122.5872869,7666835,669839,28-05-2023,1
10400,,23-X5842921,Property,Glenfair,28-05-2023,240,Vandalism,Vandalism,,,,,28-05-2023,1
10401,900 BLOCK OF SW BROADWAY,23-139815,Property,Downtown,28-05-2023,1200,Larceny Offenses,Shoplifting,45.51769765,-122.6805844,7643237,682382,28-05-2023,1
10402,2800 BLOCK OF SE 119TH AVE,23-139856,Property,Powellhurst-Gilbert,28-05-2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.50143613,-122.5408185,7678900,675519,28-05-2023,1
10403,9600 BLOCK OF N SMITH ST,23-912498,Property,St Johns,28-05-2023,250,Vandalism,Vandalism,45.59759708,-122.7561994,7624676,712035,28-05-2023,1
10404,6300 BLOCK OF N LOMBARD ST,23-912466,Property,University Park,28-05-2023,1327,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,28-05-2023,1
10405,UNKNOWN ADDRESS,23-139949,Property,,28-05-2023,1400,Larceny Offenses,Theft From Motor Vehicle,,,,,28-05-2023,1
10406,4200 BLOCK OF N MARYLAND AVE,23-912489,Property,Overlook,28-05-2023,1400,Vandalism,Vandalism,45.55424832,-122.6808954,7643517,695706,28-05-2023,1
10407,UNKNOWN ADDRESS,23-140133,Property,,28-05-2023,1944,Vandalism,Vandalism,,,,,28-05-2023,1
10408,5100 BLOCK OF NW CORNELL RD,23-912453,Property,Forest Park,28-05-2023,1030,Larceny Offenses,Theft From Motor Vehicle,45.52656698,-122.7301002,7630639,685961,28-05-2023,1
10409,1000 BLOCK OF SE MORRISON ST,23-139770,Property,Buckman West,28-05-2023,1110,Burglary,Burglary,45.51725267,-122.6551644,7649746,682045,28-05-2023,1
10410,1000 BLOCK OF SE BELMONT ST,23-139893,Property,Buckman West,28-05-2023,1357,Larceny Offenses,Shoplifting,45.51645144,-122.6551692,7649737,681753,28-05-2023,1
10411,4700 BLOCK OF SE 61ST AVE,23-139722,Property,Mt Scott-Arleta,28-05-2023,1900,Burglary,Burglary,45.48834595,-122.6000473,7663595,671137,28-05-2023,1
10412,9800 BLOCK OF SE WASHINGTON ST,23-912469,Property,Hazelwood,28-05-2023,2112,Larceny Offenses,Shoplifting,45.51828266,-122.5618114,7673676,681796,28-05-2023,1
10413,4700 BLOCK OF SE 61ST AVE,23-139722,Property,Mt Scott-Arleta,28-05-2023,1900,Vandalism,Vandalism,45.48834595,-122.6000473,7663595,671137,28-05-2023,1
10414,,23-X5842945,Person,Southwest Hills,28-05-2023,1838,Sex Offenses,Rape,,,,,28-05-2023,1
10415,3100 BLOCK OF SE 167TH AVE,23-139802,Property,Centennial,28-05-2023,2300,Larceny Offenses,Theft From Motor Vehicle,45.50009139,-122.4906573,7691745,674708,28-05-2023,1
10416,800 BLOCK OF SW YAMHILL ST,23-912486,Property,Downtown,28-05-2023,1430,Larceny Offenses,Shoplifting,45.51904953,-122.6812022,7643092,682879,28-05-2023,1
10417,9900 BLOCK OF NE SANDY BLVD,23-140013,Person,Parkrose,28-05-2023,1642,Assault Offenses,Simple Assault,45.55938933,-122.5602823,7674450,696769,28-05-2023,1
10418,3200 BLOCK OF NE BROADWAY,23-140092,Property,Sullivan's Gulch,28-05-2023,1837,Larceny Offenses,Shoplifting,45.53511603,-122.6319506,7655866,688398,28-05-2023,1
10419,1000 BLOCK OF NW LOVEJOY ST,23-140116,Person,Pearl,28-05-2023,1911,Assault Offenses,Simple Assault,45.53014864,-122.6818746,7643029,686929,28-05-2023,1
10420,600 BLOCK OF SW 11TH AVE,23-912476,Property,Downtown,28-05-2023,1600,Larceny Offenses,Theft From Motor Vehicle,45.52060074,-122.6828815,7642677,683456,28-05-2023,1
10421,700 BLOCK OF SE CLAY ST,23-139639,Property,Hosford-Abernethy,28-05-2023,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.51146917,-122.6582268,7648905,679958,28-05-2023,1
10422,7400 BLOCK OF N VAN HOUTEN AVE,23-139855,Property,University Park,28-05-2023,1309,Vandalism,Vandalism,45.58244866,-122.7259482,7632264,706299,28-05-2023,1
10423,4000 BLOCK OF SW FAIRVIEW BLVD,23-912470,Property,Arlington Heights,28-05-2023,1455,Larceny Offenses,Theft From Motor Vehicle,45.51489979,-122.7166775,7633961,681614,28-05-2023,1
10424,1000 BLOCK OF NW 9TH AVE,23-139706,Person,Pearl,28-05-2023,934,Assault Offenses,Aggravated Assault,45.53048599,-122.6802909,7643438,687041,28-05-2023,1
10425,3900 BLOCK OF SE POWELL BLVD,23-139431,Person,Creston-Kenilworth,28-05-2023,2359,Assault Offenses,Simple Assault,45.49734534,-122.6216771,7658136,674562,28-05-2023,1
10426,3200 BLOCK OF NE BROADWAY,23-140066,Property,Sullivan's Gulch,28-05-2023,1752,Larceny Offenses,Shoplifting,45.53511603,-122.6319506,7655866,688398,28-05-2023,1
10427,8000 BLOCK OF NE ALBERTA ST,23-139832,Property,Cully,28-05-2023,0,Larceny Offenses,Theft From Building,45.55917805,-122.579638,7669492,696819,28-05-2023,1
10428,7700 BLOCK OF SW 45TH AVE,23-912490,Property,Multnomah,28-05-2023,1655,Larceny Offenses,Theft From Motor Vehicle,45.46872259,-122.723073,7631859,664829,28-05-2023,1
10429,7300 BLOCK OF SE EVERGREEN ST,23-140221,Property,Brentwood-Darlington,28-05-2023,2159,Motor Vehicle Theft,Motor Vehicle Theft,45.47292428,-122.5870923,7666771,665430,28-05-2023,1
10430,0 BLOCK OF NE MONROE ST,23-139633,Property,Eliot,28-05-2023,1500,Burglary,Burglary,45.54539701,-122.6653818,7647403,692373,28-05-2023,1
10431,200 BLOCK OF NW 20TH AVE,23-140089,Property,Northwest,28-05-2023,1500,Vandalism,Vandalism,45.52461722,-122.6922632,7640313,684985,28-05-2023,1
10432,5300 BLOCK OF NE 33RD AVE,23-912485,Property,Concordia,28-05-2023,1654,Larceny Offenses,Shoplifting,45.56141121,-122.6305952,7656466,697973,28-05-2023,1
10433,SE STARK ST / SE 122ND AVE,23-140236,Society,Hazelwood,28-05-2023,2230,Weapon Law Violations,Weapons Law Violations,45.51902418,-122.5377782,7679841,681910,28-05-2023,1
10434,1900 BLOCK OF NE 70TH AVE,23-912464,Property,Madison South,28-05-2023,1405,Burglary,Burglary,45.53630642,-122.5913512,7666277,688560,28-05-2023,1
10435,1800 BLOCK OF SW 6TH AVE,23-139630,Property,Downtown,28-05-2023,1930,Vandalism,Vandalism,45.51139908,-122.6827034,7642632,680101,28-05-2023,1
10436,9100 BLOCK OF SE COOPER ST,23-140029,Property,Lents,28-05-2023,1705,Vandalism,Vandalism,45.47330333,-122.5691837,7671367,665450,28-05-2023,1
10437,,23-X5842530,Person,Sunnyside,28-05-2023,2153,Assault Offenses,Simple Assault,,,,,28-05-2023,1
10438,2200 BLOCK OF NW RALEIGH ST,23-912419,Property,Northwest,28-05-2023,1700,Larceny Offenses,Theft From Building,45.53404117,-122.697753,7639000,688458,28-05-2023,1
10439,5900 BLOCK OF E BURNSIDE ST,23-140028,Property,Mt Tabor,28-05-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.52283198,-122.6028137,7663213,683725,28-05-2023,1
10440,9100 BLOCK OF SW 8TH AVE,23-912456,Property,Marshall Park,28-05-2023,845,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.45910074,-122.687058,7641000,661070,28-05-2023,1
10441,1700 BLOCK OF SW 16TH AVE,23-139644,Property,Goose Hollow,28-05-2023,1900,Vandalism,Vandalism,45.51455758,-122.6920427,7640270,681317,28-05-2023,1
10442,,23-X5842330,Person,Powellhurst-Gilbert,28-05-2023,315,Assault Offenses,Simple Assault,,,,,28-05-2023,2
10443,1700 BLOCK OF SE TENINO ST,23-140198,Person,Sellwood-Moreland,28-05-2023,2132,Assault Offenses,Simple Assault,45.4636491,-122.6465465,7651435,662449,28-05-2023,3
10444,100 BLOCK OF NW 15TH ST,23-912473,Property,,28-05-2023,35,Fraud Offenses,Credit Card/ATM Fraud,45.50773787,-122.4319884,7706850,677130,28-05-2023,1
10445,100 BLOCK OF NW 5TH AVE,23-140051,Person,Old Town/Chinatown,28-05-2023,115,Assault Offenses,Simple Assault,45.52414815,-122.675512,7644600,684698,28-05-2023,1
10446,100 BLOCK OF NE MARTIN LUTHER KING JR BLVD,23-912442,Property,Kerns,28-05-2023,300,Larceny Offenses,Theft From Building,45.52400311,-122.6616814,7648142,684550,28-05-2023,1
10447,600 BLOCK OF NW 18TH AVE,23-140031,Property,Northwest,28-05-2023,1710,Vandalism,Vandalism,45.52746357,-122.6893246,7641094,686002,28-05-2023,1
10448,6000 BLOCK OF SE 86TH AVE,23-912481,Property,Lents,28-05-2023,2230,Vandalism,Vandalism,45.47903157,-122.5743764,7670089,667572,28-05-2023,1
10449,100 BLOCK OF N MORRIS ST,23-912483,Property,Eliot,28-05-2023,300,Vandalism,Vandalism,45.54470586,-122.6676982,7646803,692137,28-05-2023,1
10450,6900 BLOCK OF SE 86TH AVE,23-912472,Property,Lents,28-05-2023,215,Fraud Offenses,Credit Card/ATM Fraud,45.47246457,-122.5749166,7669889,665182,28-05-2023,1
10451,1100 BLOCK OF SW MARKET ST,23-140012,Property,Downtown,28-05-2023,1700,Vandalism,Vandalism,45.51446147,-122.6868642,7641596,681246,28-05-2023,1
10452,,23-X5842326,Person,Pearl,28-05-2023,134,Assault Offenses,Simple Assault,,,,,28-05-2023,1
10453,SW 3RD AVE / SW SALMON ST,23-140145,Person,Downtown,28-05-2023,2012,Assault Offenses,Aggravated Assault,45.51625545,-122.6766263,7644237,681829,28-05-2023,1
10454,,23-X5842983,Person,Portsmouth,28-05-2023,1,Sex Offenses,Rape,,,,,28-05-2023,1
10455,2100 BLOCK OF S RIVER PKWY,23-139780,Property,Downtown,28-05-2023,1115,Vandalism,Vandalism,45.50677134,-122.6729617,7645083,678347,28-05-2023,1
10456,1300 BLOCK OF NE FREMONT ST,23-139725,Property,Sabin,28-05-2023,417,Burglary,Burglary,45.54828822,-122.652118,7650828,693336,28-05-2023,1
10457,1900 BLOCK OF NW 19TH AVE,23-912465,Property,Northwest,28-05-2023,2300,Vandalism,Vandalism,45.53670608,-122.6908132,7640804,689381,28-05-2023,1
10458,,23-X5842395,Person,Lents,28-05-2023,435,Assault Offenses,Simple Assault,,,,,28-05-2023,1
10459,1900 BLOCK OF SE WOODWARD ST,23-140152,Property,Hosford-Abernethy,28-05-2023,2015,Vandalism,Vandalism,45.50196917,-122.6461492,7651908,676413,28-05-2023,1
10460,1900 BLOCK OF SW SHERWOOD BLVD,23-912450,Property,Arlington Heights,28-05-2023,1445,Larceny Offenses,Theft From Motor Vehicle,45.51627368,-122.7057372,7636778,682038,28-05-2023,1
10461,E BURNSIDE ST / SE 16TH AVE,23-139635,Property,Buckman East,28-05-2023,2100,Vandalism,Vandalism,45.52289458,-122.6495474,7651240,684063,28-05-2023,1
10462,200 BLOCK OF SW MORRISON ST,23-139913,Property,Downtown,28-05-2023,1426,Larceny Offenses,Shoplifting,45.51816252,-122.6750212,7644667,682513,28-05-2023,1
10463,7600 BLOCK OF N NEWMAN AVE,23-912454,Property,Portsmouth,28-05-2023,1000,Vandalism,Vandalism,45.58002434,-122.7155187,7634909,705342,28-05-2023,1
10464,5500 BLOCK OF NE MALLORY AVE,23-139636,Property,King,28-05-2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.56301725,-122.6637459,7647994,698784,28-05-2023,1
10465,2000 BLOCK OF S RIVER DR,23-139842,Property,Downtown,28-05-2023,1250,Vandalism,Vandalism,45.50750783,-122.6740591,7644809,678623,28-05-2023,1
10466,5500 BLOCK OF NE MALLORY AVE,23-139724,Property,King,28-05-2023,2200,Larceny Offenses,All Other Larceny,45.56301725,-122.6637459,7647994,698784,28-05-2023,1
10467,N ALBINA AVE / N COLUMBIA BLVD,23-140068,Society,Piedmont,28-05-2023,1800,Weapon Law Violations,Weapons Law Violations,45.5839023,-122.6743344,7645488,706469,28-05-2023,1
10468,8100 BLOCK OF SE LAMBERT ST,23-139811,Property,Brentwood-Darlington,28-05-2023,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.46683916,-122.579671,7668617,663163,28-05-2023,1
10469,8300 BLOCK OF SE MCLOUGHLIN BLVD,23-140140,Property,Sellwood-Moreland,28-05-2023,2022,Vandalism,Vandalism,45.46252712,-122.6388934,7653387,661988,28-05-2023,1
10470,,23-X5842375,Person,Old Town/Chinatown,28-05-2023,1104,Assault Offenses,Aggravated Assault,,,,,28-05-2023,4
10471,2100 BLOCK OF NE 82ND AVE,23-139758,Property,Madison South,28-05-2023,1045,Larceny Offenses,Shoplifting,45.53762989,-122.5788915,7669481,688960,28-05-2023,1
10472,13200 BLOCK OF SE BROOKLYN CT,23-139584,Person,Powellhurst-Gilbert,28-05-2023,509,Assault Offenses,Intimidation,45.50014577,-122.5263019,7682609,674955,28-05-2023,1
10473,SE 3RD AVE / SE ANKENY ST,23-912462,Property,Buckman West,28-05-2023,1600,Larceny Offenses,Theft From Motor Vehicle,45.5222301,-122.662734,7647855,683911,28-05-2023,1
10474,200 BLOCK OF NW 5TH AVE,23-139621,Property,Old Town/Chinatown,28-05-2023,731,Burglary,Burglary,45.52486106,-122.6755354,7644601,684958,28-05-2023,1
10475,1900 BLOCK OF NE 91ST AVE,23-912447,Property,Madison South,28-05-2023,800,Larceny Offenses,All Other Larceny,45.53624233,-122.5697328,7671814,688394,28-05-2023,1
10476,SE POWELL BLVD / SE CESAR E CHAVEZ BLVD,23-139981,Property,Creston-Kenilworth,28-05-2023,2215,Larceny Offenses,Theft From Motor Vehicle,45.49733649,-122.6226014,7657899,674565,28-05-2023,1
10477,SE POWELL BLVD / SE CESAR E CHAVEZ BLVD,23-139981,Property,Creston-Kenilworth,28-05-2023,2215,Vandalism,Vandalism,45.49733649,-122.6226014,7657899,674565,28-05-2023,1
10478,SW 3RD AVE / SW SALMON ST,23-140145,Property,Downtown,28-05-2023,2012,Vandalism,Vandalism,45.51625545,-122.6766263,7644237,681829,28-05-2023,1
10479,,23-X5842341,Person,Southwest Hills,28-05-2023,749,Assault Offenses,Simple Assault,,,,,28-05-2023,1
10480,5800 BLOCK OF SE GLADSTONE ST,23-139903,Property,Foster-Powell,28-05-2023,2246,Burglary,Burglary,45.49325925,-122.6032248,7662827,672949,28-05-2023,1
10481,SW 4TH AVE / SW YAMHILL ST,23-912449,Property,Downtown,28-05-2023,2300,Vandalism,Vandalism,45.51784935,-122.6769255,7644176,682412,28-05-2023,1
10482,15700 BLOCK OF SE ALDER ST,23-139468,Property,Centennial,28-05-2023,48,Burglary,Burglary,45.51737883,-122.5010508,7689237,681075,28-05-2023,1
10483,UNKNOWN ADDRESS,23-912459,Property,,28-05-2023,1305,Larceny Offenses,Theft From Motor Vehicle,,,,,28-05-2023,1
10484,0 BLOCK OF NE MONROE ST,23-139606,Property,Eliot,28-05-2023,645,Burglary,Burglary,45.54539701,-122.6653818,7647403,692373,28-05-2023,1
10485,UNKNOWN ADDRESS,23-912474,Property,,28-05-2023,1230,Larceny Offenses,Theft From Motor Vehicle,,,,,28-05-2023,1
10486,1600 BLOCK OF NW 14TH AVE,23-140293,Property,Pearl,28-05-2023,2330,Vandalism,Vandalism,45.53466659,-122.6855305,7642137,688601,28-05-2023,1
10487,SE 86TH AVE / SE LAFAYETTE ST,23-140001,Property,Lents,28-05-2023,1,Motor Vehicle Theft,Motor Vehicle Theft,45.49617402,-122.5740505,7670333,673818,28-05-2023,1
10488,6500 BLOCK OF SE 82ND AVE,23-140048,Property,Lents,28-05-2023,1700,Larceny Offenses,Shoplifting,45.47551831,-122.5790059,7668869,666322,28-05-2023,1
10489,2700 BLOCK OF SE 165TH AVE,23-912497,Property,Centennial,28-05-2023,1835,Vandalism,Vandalism,45.50244681,-122.4937362,7690977,675586,28-05-2023,1
10490,2500 BLOCK OF SW LURADEL ST,23-912480,Property,Arnold Creek,28-05-2023,2230,Larceny Offenses,Theft From Motor Vehicle,45.45057752,-122.7028997,7636852,658074,28-05-2023,1
10491,6600 BLOCK OF N FESSENDEN ST,23-139693,Property,St Johns,28-05-2023,2015,Vandalism,Vandalism,45.59241769,-122.7312635,7631004,709970,28-05-2023,1
10492,2800 BLOCK OF N GANTENBEIN AVE,23-139642,Property,Eliot,28-05-2023,1900,Motor Vehicle Theft,Motor Vehicle Theft,45.54309414,-122.6695069,7646324,691562,28-05-2023,1
10493,2800 BLOCK OF N GANTENBEIN AVE,23-912487,Property,Eliot,28-05-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.54309414,-122.6695069,7646324,691562,28-05-2023,1
10494,11800 BLOCK OF SE PINE ST,23-139875,Property,Hazelwood,28-05-2023,1930,Larceny Offenses,Theft From Motor Vehicle,45.5204375,-122.5410019,7679028,682446,28-05-2023,1
10495,2800 BLOCK OF NE MARTIN LUTHER KING JR BLVD,23-912455,Property,Eliot,28-05-2023,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.54339265,-122.6615257,7648371,691616,28-05-2023,1
10496,16300 BLOCK OF SE SALMON ST,23-912452,Property,Centennial,28-05-2023,830,Larceny Offenses,All Other Larceny,45.51501078,-122.4944466,7690908,680170,28-05-2023,1
10497,8300 BLOCK OF SE MCLOUGHLIN BLVD,23-140140,Person,Sellwood-Moreland,28-05-2023,2022,Assault Offenses,Aggravated Assault,45.46252712,-122.6388934,7653387,661988,28-05-2023,2
10498,2600 BLOCK OF SE 47TH AVE,23-139794,Property,Richmond,28-05-2023,730,Larceny Offenses,Theft From Motor Vehicle,45.50371621,-122.6140804,7660144,676833,28-05-2023,1
10499,E BURNSIDE ST / SE 16TH AVE,23-139635,Property,Buckman East,28-05-2023,2100,Larceny Offenses,Theft From Motor Vehicle,45.52289458,-122.6495474,7651240,684063,28-05-2023,1
10500,1700 BLOCK OF N TOMAHAWK ISLAND DR,23-139930,Property,Hayden Island,28-05-2023,1740,Larceny Offenses,Shoplifting,45.61304232,-122.684901,7643071,717163,28-05-2023,1
10501,NW NAITO PKWY / NW DAVIS ST,23-140148,Person,Old Town/Chinatown,28-05-2023,2017,Assault Offenses,Simple Assault,45.5246028,-122.6701859,7645969,684827,28-05-2023,1
10502,,23-X5843417,Property,Old Town/Chinatown,28-05-2023,1750,Vandalism,Vandalism,,,,,28-05-2023,1
10503,,23-X5842543,Property,Cully,28-05-2023,2213,Vandalism,Vandalism,,,,,28-05-2023,1
10504,1700 BLOCK OF NE 33RD AVE,23-140151,Property,Grant Park,28-05-2023,2015,Motor Vehicle Theft,Motor Vehicle Theft,45.53546754,-122.6306014,7656215,688517,28-05-2023,1
10505,5700 BLOCK OF NE PRESCOTT ST,23-139957,Property,Cully,28-05-2023,1514,Vandalism,Vandalism,45.55552198,-122.6038572,7663256,695647,28-05-2023,1
10506,1700 BLOCK OF N TOMAHAWK ISLAND DR,23-912461,Property,Hayden Island,28-05-2023,1245,Larceny Offenses,Shoplifting,45.61304232,-122.684901,7643071,717163,28-05-2023,1
10507,8300 BLOCK OF N IVANHOE ST,23-140055,Property,Cathedral Park,28-05-2023,1740,Robbery,Robbery,45.58875845,-122.7529013,7625430,708790,28-05-2023,1
10508,1400 BLOCK OF SE HOLGATE BLVD,23-912421,Property,Brooklyn,28-05-2023,2105,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.49028532,-122.6507672,7650611,672186,28-05-2023,1
10509,5500 BLOCK OF SE LEXINGTON ST,23-139167,Property,Brentwood-Darlington,27-05-2023,1200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.46650613,-122.6060638,7661845,663217,27-05-2023,1
10510,,23-X5842165,Person,Hazelwood,27-05-2023,309,Assault Offenses,Simple Assault,,,,,27-05-2023,1
10511,800 BLOCK OF SW BROADWAY DR,23-138709,Property,Southwest Hills,27-05-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.50372237,-122.6867355,7641523,677331,27-05-2023,1
10512,700 BLOCK OF SW BROADWAY,23-139133,Property,Downtown,27-05-2023,1909,Larceny Offenses,Shoplifting,45.51902839,-122.6798588,7643436,682862,27-05-2023,1
10513,1600 BLOCK OF NE SANDY BLVD,23-912428,Property,Kerns,27-05-2023,1520,Burglary,Burglary,45.52457018,-122.6490019,7651396,684670,27-05-2023,1
10514,400 BLOCK OF SW KINGSTON AVE,23-912414,Property,Arlington Heights,27-05-2023,1425,Larceny Offenses,Theft From Motor Vehicle,45.52036252,-122.7067,7636572,683535,27-05-2023,1
10515,3900 BLOCK OF SE 58TH AVE,23-912430,Property,Foster-Powell,27-05-2023,200,Larceny Offenses,Theft From Motor Vehicle,45.49434605,-122.603507,7662765,673347,27-05-2023,1
10516,14100 BLOCK OF SE RAYMOND ST,23-912405,Property,Powellhurst-Gilbert,27-05-2023,1800,Vandalism,Vandalism,45.48633689,-122.5177629,7684672,669867,27-05-2023,1
10517,4700 BLOCK OF S MACADAM AVE,23-138623,Property,South Portland,27-05-2023,548,Vandalism,Vandalism,45.48905263,-122.6742656,7644575,671898,27-05-2023,1
10518,3900 BLOCK OF SE 82ND AVE,23-138828,Person,Foster-Powell,27-05-2023,1147,Assault Offenses,Aggravated Assault,45.49378028,-122.5788277,7669086,672977,27-05-2023,1
10519,,23-X5842401,Person,Cathedral Park,27-05-2023,27,Assault Offenses,Simple Assault,,,,,27-05-2023,2
